,Date,stock,value,change
274,3/22/2007,AAPL,12.430764,-0.468281756
275,3/22/2007,GSPC,1434.540039,0.109438981
276,3/23/2007,MSFT,22.55277,0.713774849
277,3/23/2007,IBM,78.9008,-0.031567487
278,3/23/2007,SBUX,14.394964,1.686826032
279,3/23/2007,AAPL,12.372553,2.491442146
280,3/23/2007,GSPC,1436.109985,0.096790289
281,3/26/2007,MSFT,22.713746,-1.77179493
282,3/26/2007,IBM,78.875893,-0.284207242
283,3/26/2007,SBUX,14.637782,-0.719876823
284,3/26/2007,AAPL,12.680808,-0.40688259
285,3/26/2007,GSPC,1437.5,-0.618435826
286,3/27/2007,MSFT,22.311305,-0.28859809
287,3/27/2007,IBM,78.651722,-0.496148069
288,3/27/2007,SBUX,14.532408,-1.38713419
289,3/27/2007,AAPL,12.629212,-2.325584526
290,3/27/2007,GSPC,1428.609985,-0.796578851
291,3/28/2007,MSFT,22.246915,0.397974281
292,3/28/2007,IBM,78.261493,0.32887438
293,3/28/2007,SBUX,14.330824,0.159844263
294,3/28/2007,AAPL,12.335509,0.546981888
295,3/28/2007,GSPC,1417.22998,0.373972402
296,3/29/2007,MSFT,22.335452,0.432433604
297,3/29/2007,IBM,78.518875,-0.327796342
298,3/29/2007,SBUX,14.353731,0.095759075
299,3/29/2007,AAPL,12.402982,-0.89601033
300,3/29/2007,GSPC,1422.530029,-0.11739956
301,3/30/2007,MSFT,22.432038,-0.466453382
302,3/30/2007,IBM,78.261493,1.00784686
303,3/30/2007,SBUX,14.367476,-0.350771423
304,3/30/2007,AAPL,12.29185,0.796478968
305,3/30/2007,GSPC,1420.859985,0.259706378
306,4/2/2007,MSFT,22.327403,0.468639367
307,4/2/2007,IBM,79.050249,0.934775044
308,4/2/2007,SBUX,14.317079,0.76800582
309,4/2/2007,AAPL,12.389752,0.907629144
310,4/2/2007,GSPC,1424.550049,0.928010287
311,4/3/2007,MSFT,22.432038,2.260494566
312,4/3/2007,IBM,79.789191,0.114465379
313,4/3/2007,SBUX,14.427035,-0.476341812
314,4/3/2007,AAPL,12.502205,-0.243381068
315,4/3/2007,GSPC,1437.77002,0.111281706
316,4/4/2007,MSFT,22.939113,0.175433985
317,4/4/2007,IBM,79.880522,0.322208711
318,4/4/2007,SBUX,14.358313,0.191443103
319,4/4/2007,AAPL,12.471777,0.434917975
320,4/4/2007,GSPC,1439.369995,0.304995589
321,4/5/2007,MSFT,22.979356,0.070054183
322,4/5/2007,IBM,80.137904,0.103612643
323,4/5/2007,SBUX,14.385801,-0.8280248
324,4/5/2007,AAPL,12.526019,-1.087871574
325,4/5/2007,GSPC,1443.76001,0.058872319
326,4/9/2007,MSFT,22.995454,-0.595026304
327,4/9/2007,IBM,80.220937,-0.165601407
328,4/9/2007,SBUX,14.266683,0.064226562
329,4/9/2007,AAPL,12.389752,0.640682719
330,4/9/2007,GSPC,1444.609985,0.261664397
331,4/10/2007,MSFT,22.858625,-1.021124411
332,4/10/2007,IBM,80.08809,-1.347704759
333,4/10/2007,SBUX,14.275846,-1.379974259
334,4/10/2007,AAPL,12.469131,-1.76126949
335,4/10/2007,GSPC,1448.390015,-0.657282907
336,4/11/2007,MSFT,22.62521,1.529705139
337,4/11/2007,IBM,79.008739,0.535934386
338,4/11/2007,SBUX,14.078843,-0.195250419
339,4/11/2007,AAPL,12.249516,-0.432017069
340,4/11/2007,GSPC,1438.869995,0.620629663
341,4/12/2007,MSFT,22.971309,0.245266824
342,4/12/2007,IBM,79.432174,-0.773490097
343,4/12/2007,SBUX,14.051354,0.293452147
344,4/12/2007,AAPL,12.196596,-2.115196732
345,4/12/2007,GSPC,1447.800049,0.34880003
346,4/13/2007,MSFT,23.02765,0.419430554
347,4/13/2007,IBM,78.817774,1.3167601
348,4/13/2007,SBUX,14.092588,0.942779282
349,4/13/2007,AAPL,11.938614,1.318704164
350,4/13/2007,GSPC,1452.849976,1.065490605
351,4/16/2007,MSFT,23.124235,0.417687331
352,4/16/2007,IBM,79.855615,0.977336409
353,4/16/2007,SBUX,14.22545,-0.032202848
354,4/16/2007,AAPL,12.096049,-1.181228681
355,4/16/2007,GSPC,1468.329956,0.214531072
356,4/17/2007,MSFT,23.220822,-0.866554164
357,4/17/2007,IBM,80.636073,-2.388796885
358,4/17/2007,SBUX,14.220869,-0.193300423
359,4/17/2007,AAPL,11.953167,0.055340982
360,4/17/2007,GSPC,1471.47998,0.069319326
361,4/18/2007,MSFT,23.019601,0.314688339
362,4/18/2007,IBM,78.709841,-0.537977202
363,4/18/2007,SBUX,14.19338,-0.645575613
364,4/18/2007,AAPL,11.959782,-0.143806969
365,4/18/2007,GSPC,1472.5,-0.120205093
366,4/19/2007,MSFT,23.092041,1.150227474
367,4/19/2007,IBM,78.2864,0.307562999
368,4/19/2007,SBUX,14.101751,2.858992475
369,4/19/2007,AAPL,11.942583,0.775452011
370,4/19/2007,GSPC,1470.72998,0.926070467
371,4/20/2007,MSFT,23.357652,-0.827018058
372,4/20/2007,IBM,78.52718,0.666099305
373,4/20/2007,SBUX,14.504919,-0.284269081
374,4/20/2007,AAPL,12.035192,2.792128285
375,4/20/2007,GSPC,1484.349976,-0.230398629
